"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CDHR1",0.0941921835059919,0.0651579243955495,0.052,0.02,1,"CDHR1"
"CD300A",0.094504000409106,-0.0766594214452582,0.122,0.063,1,"CD300A"
"SSBP2",0.0945554378642256,-0.475587140813322,0.513,0.447,1,"SSBP2"
"THBS1",0.0948990230300025,0.076092879336524,0.052,0.02,1,"THBS1"
"PPIE",0.0951100649163035,-0.123745868331107,0.678,0.49,1,"PPIE"
"CLEC12A",0.095610106025056,0.0233506192903295,0.052,0.02,1,"CLEC12A"
"PGBD4",0.0956809999163192,-0.0672552097713536,0.078,0.036,1,"PGBD4"
"PTPRE",0.0957591026244795,-0.316894091271643,0.374,0.221,1,"PTPRE"
"CHD6",0.0959363989036441,-0.372090240046904,0.409,0.241,1,"CHD6"
"TM7SF3",0.0962414842496943,-0.394181712045611,0.652,0.538,1,"TM7SF3"
"ZNF862",0.0962741840088064,-0.163486042521236,0.122,0.063,1,"ZNF862"
"POSTN",0.0963254487783767,0.0654381596625717,0.052,0.02,1,"POSTN"
"ZNF823",0.0963254487783767,0.0186868712471967,0.052,0.02,1,"ZNF823"
"CNTLN",0.0963834334780504,-0.410958336003055,0.496,0.451,1,"CNTLN"
"CD28",0.0966394371095651,-0.150851726125198,0.704,0.439,1,"CD28"
"YBX3",0.0967208503517953,-0.133345701523152,0.122,0.063,1,"YBX3"
"EPN2",0.0968128692856652,-0.0258018537906142,0.078,0.036,1,"EPN2"
"ZNF16",0.0968128692856652,-0.0304201361593965,0.078,0.036,1,"ZNF16"
"GLB1L",0.0968140817827563,-0.471826537566628,0.383,0.372,1,"GLB1L"
"SCGB3A1",0.0968482901656134,-0.229928954630388,0,0.024,1,"SCGB3A1"
"SSX2B",0.0968482901656134,-0.0525103716988546,0,0.024,1,"SSX2B"
"SSX2",0.0968482901656134,-0.052582553556018,0,0.024,1,"SSX2"
"CALHM5",0.0968482901656134,-0.0727376625715925,0,0.024,1,"CALHM5"
"BBS2",0.0971558369280931,-0.276931357594311,0.191,0.111,1,"BBS2"
"CST7",0.0974084108142007,-0.20202183073138,0.817,0.534,1,"CST7"
"HLA-DOA",0.0976033895817,-0.41106969735367,0.548,0.474,1,"HLA-DOA"
"MAP3K5",0.0977670552467703,-0.140520320297419,0.243,0.146,1,"MAP3K5"
"NEO1",0.0977689786470835,0.00633793024332121,0.052,0.02,1,"NEO1"
"NUDT13",0.0977689786470835,0.0166454586699414,0.052,0.02,1,"NUDT13"
"SFMBT2",0.0978791729942625,-0.480714457981057,0.635,0.553,1,"SFMBT2"
"MPP6",0.0979554220449714,-0.0606678986529838,0.078,0.036,1,"MPP6"
"CHI3L2",0.0980744612260553,-0.146906266724433,0.243,0.142,1,"CHI3L2"
"HMGN2",0.0981246338824954,0.0465944042293596,1,0.644,1,"HMGN2"
"DIP2A",0.0981715881513244,-0.453140763183077,0.722,0.621,1,"DIP2A"
"RAB5B",0.0983194694784054,-0.356147362323588,0.678,0.573,1,"RAB5B"
"NETO1",0.0984971982731758,0.0174911214863145,0.052,0.02,1,"NETO1"
"TFAP2A",0.0984971982731758,0.00162718686880341,0.052,0.02,1,"TFAP2A"
"IGSF6",0.0985307246748054,-0.00827029678497135,0.078,0.036,1,"IGSF6"
"SMURF2",0.0985955118422726,-0.170587750035685,0.191,0.111,1,"SMURF2"
"FGD6",0.0987852186282479,-0.116394234113887,0.322,0.198,1,"FGD6"
"VWA8",0.0989666388448616,-0.254653545434779,0.278,0.166,1,"VWA8"
"RMRP",0.0991087221158812,0.0578130574617115,0.078,0.036,1,"RMRP"
"PLCE1",0.0992297426775331,0.00779867994686363,0.052,0.02,1,"PLCE1"
"TMEM200A",0.0992297426775331,0.0122758452247322,0.052,0.02,1,"TMEM200A"
"LRATD2",0.0992316893106158,-0.434841907260522,0.565,0.478,1,"LRATD2"
"ST6GAL1",0.0999429383480571,-0.213633170624316,0.539,0.308,1,"ST6GAL1"
"ZBTB46",0.0999666280793941,-0.00498703442245724,0.052,0.02,1,"ZBTB46"
"PDPN",0.0999916707022537,-0.107133063741301,0.2,0.119,1,"PDPN"
"ACAP2",0.100087929333676,-0.159686229133521,0.739,0.502,1,"ACAP2"
"LAX1",0.100314214758283,-0.499207735324603,0.617,0.526,1,"LAX1"
"RCBTB2",0.10037130569613,-0.206551304110875,0.139,0.075,1,"RCBTB2"
"TIGD6",0.100391074694862,-0.08334854802947,0.096,0.047,1,"TIGD6"
"CDC42BPA",0.100707870682267,-0.0108229826248752,0.052,0.02,1,"CDC42BPA"
"NR3C2",0.100707870682267,-0.0580194243023664,0.052,0.02,1,"NR3C2"
"TACR2",0.100707870682267,-0.00779799814277261,0.052,0.02,1,"TACR2"
"ELMOD3",0.100856520341341,-0.201076288764435,0.157,0.087,1,"ELMOD3"
"RADX",0.100858963036992,-0.119504213256256,0.078,0.036,1,"RADX"
"RORA",0.101153894528347,-0.236997155212881,0.33,0.206,1,"RORA"
"CARNS1",0.101453486673208,-0.0549076341207582,0.052,0.02,1,"CARNS1"
"SLC25A23",0.101453486673208,-0.0059667962609443,0.052,0.02,1,"SLC25A23"
"PBX4",0.1019441979956,-0.180682292261182,0.217,0.126,1,"PBX4"
"TRIM38",0.102155055835848,-0.213989172875276,0.661,0.435,1,"TRIM38"
"GNAQ",0.102203492222103,-0.0419952738649196,0.052,0.02,1,"GNAQ"
