"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcdhb11",0.000118667772873231,0.581169370481358,0.141,0.066,0.121041128330695,"L2/3","Pcdhb11"
"Pcdhga8",0.000129853884124749,0.519033844272103,0.218,0.12,0.132450961807244,"L2/3","Pcdhga8"
"Gpr151",0.000134181905403226,0.536002186805389,0.237,0.135,0.136865543511291,"L2/3","Gpr151"
"Nptx2",0.000158602933300447,0.51797823872194,0.286,0.177,0.161774991966456,"L2/3","Nptx2"
"Penk",0.000166091466861298,0.696394276589771,0.233,0.139,0.169413296198524,"L2/3","Penk"
"Dcn",0.000176906706238821,0.605741286436307,0.134,0.062,0.180444840363598,"L2/3","Dcn"
"Gm765",0.000231591566981269,0.793772756512939,0.29,0.186,0.236223398320894,"L2/3","Gm765"
"Lin7b",0.000236371102995397,0.541122669822179,0.286,0.18,0.241098525055305,"L2/3","Lin7b"
"Btbd10",0.000274578966976598,0.618655712968628,0.248,0.15,0.28007054631613,"L2/3","Btbd10"
"Trim32",0.000298401757342806,0.507977152364097,0.366,0.249,0.304369792489662,"L2/3","Trim32"
"Cited1",0.000345126744720481,0.545972202996576,0.149,0.075,0.352029279614891,"L2/3","Cited1"
"Pcdha51",0.000359196303501419,0.510490026531889,0.218,0.125,0.366380229571448,"L2/3","Pcdha5"
"Cck",0.000390776296517091,0.647476269938392,0.145,0.074,0.398591822447433,"L2/3","Cck"
"Bcar3",0.00043066687308687,0.501751081583371,0.294,0.188,0.439280210548608,"L2/3","Bcar3"
"Pcdhga7",0.000517547403219853,0.529543246258775,0.282,0.179,0.52789835128425,"L2/3","Pcdhga7"
"Tmx1",0.000537195194089707,0.549789999715377,0.237,0.144,0.547939097971501,"L2/3","Tmx1"
"Htr3a",0.0005530744733133,0.744872561034185,0.141,0.072,0.564135962779566,"L2/3","Htr3a"
"Flpo",0.000584685161523634,0.553905335961613,0.145,0.074,0.596378864754106,"L2/3","Flpo"
"Chrm21",0.000639873867750676,0.598510964009418,0.271,0.177,0.652671345105689,"L2/3","Chrm2"
"Pcdhb17",0.000742055368751118,0.53815878984759,0.218,0.129,0.75689647612614,"L2/3","Pcdhb17"
"Wfs1",0.000762388767740869,0.814841188930781,0.134,0.069,0.777636543095686,"L2/3","Wfs1"
"Rgs8",0.00107943442052924,0.710316721058641,0.149,0.08,1,"L2/3","Rgs8"
"Skap1",0.0011010687552351,0.582468514757153,0.282,0.187,1,"L2/3","Skap1"
"Cbln41",0.00132499183169679,0.556977087754115,0.176,0.103,1,"L2/3","Cbln4"
"Cd7",0.00151173510809438,0.654895518730535,0.172,0.102,1,"L2/3","Cd7"
"Tmem215",0.001853332475003,0.519563515261213,0.198,0.122,1,"L2/3","Tmem215"
"Cdk4",0.00229795516386357,0.50961903130755,0.141,0.078,1,"L2/3","Cdk4"
"Ephx2",0.00294704088032987,0.513215611769445,0.172,0.103,1,"L2/3","Ephx2"
"Thsd7a",0.00348807373082877,0.559983429558063,0.179,0.112,1,"L2/3","Thsd7a"
"St3gal6",0.00360156812147586,0.550921900675123,0.118,0.063,1,"L2/3","St3gal6"
"Smim8",0.0038728787715026,0.517842786311477,0.233,0.154,1,"L2/3","Smim8"
"Crip2",0.00409499858185449,0.521480897254056,0.374,0.28,1,"L2/3","Crip2"
"Mas1",0.00668626525260274,0.666878913872491,0.103,0.055,1,"L2/3","Mas1"
"Dhrs3",0.00766310763187726,0.615109421178318,0.176,0.113,1,"L2/3","Dhrs3"
"Foxp2",0.00852955197250509,0.545543019681397,0.111,0.062,1,"L2/3","Foxp2"
"Camk2a1",9.81520121587716e-09,0.965872020354466,0.757,0.579,1.00115052401947e-05,"L1","Camk2a"
"Fosb",3.09646910917638e-08,1.00058689941114,0.703,0.502,3.15839849135991e-05,"L1","Fosb"
"Hpcal41",4.73709023720236e-08,0.895298670034147,0.874,0.761,4.8318320419464e-05,"L1","Hpcal4"
