"","simulation","ARI","method"
"308","sim35",0.779131129421332,"louvain"
"309","sim35",0.433684010296108,"kmeans"
"310","sim35",0.606944339996964,"hclust"
"311","sim35",0.683745339438514,"scCoGAPS"
"312","sim35",0.702206036150834,"DR.SC"
"313","sim35",0.806655614001005,"BayesSpace"
"314","sim35",0.556369983515505,"SpaGCN"
"315","sim35",0.669459726564604,"STAGATE"
"316","sim36",0.830810063120076,"scSpace"
"317","sim36",0.685471348774378,"louvain"
"318","sim36",0.691170345444387,"kmeans"
"319","sim36",0.341845692442572,"hclust"
"320","sim36",0.629834997438319,"scCoGAPS"
"321","sim36",0.612432511980412,"DR.SC"
"322","sim36",0.640169605316911,"BayesSpace"
"323","sim36",0.593735256899828,"SpaGCN"
"324","sim36",0.464468875707216,"STAGATE"
"325","sim37",0.964726155445317,"scSpace"
"326","sim37",0.951307309484635,"louvain"
"327","sim37",0.765576848698741,"kmeans"
"328","sim37",0.544145202117426,"hclust"
"329","sim37",0.837428615258004,"scCoGAPS"
"330","sim37",0.843419013168982,"DR.SC"
"331","sim37",0.8845211049214,"BayesSpace"
"332","sim37",0.756112598913216,"SpaGCN"
"333","sim37",0.849128009615852,"STAGATE"
"334","sim38",0.947412102896131,"scSpace"
"335","sim38",0.9473815827537,"louvain"
"336","sim38",0.711253242714703,"kmeans"
"337","sim38",0.416724703820288,"hclust"
"338","sim38",0.584017641665397,"scCoGAPS"
"339","sim38",0.791597505489441,"DR.SC"
"340","sim38",0.846196473054867,"BayesSpace"
"341","sim38",0.589472846154371,"SpaGCN"
"342","sim38",0.685097923391931,"STAGATE"
"343","sim39",0.949353624584967,"scSpace"
"344","sim39",0.690765369934702,"louvain"
"345","sim39",0.773788938399784,"kmeans"
"346","sim39",0.420529948962199,"hclust"
"347","sim39",0.627724683412265,"scCoGAPS"
"348","sim39",0.741319693713659,"DR.SC"
"349","sim39",0.660374616191972,"BayesSpace"
"350","sim39",0.617662242485438,"SpaGCN"
"351","sim39",0.744934207885179,"STAGATE"
"352","sim40",0.837804448196286,"scSpace"
"353","sim40",0.826933292089364,"louvain"
"354","sim40",0.778389189096974,"kmeans"
"355","sim40",0.131291967224813,"hclust"
"356","sim40",0.631245604332687,"scCoGAPS"
"357","sim40",0.520843531262191,"DR.SC"
"358","sim40",0.743275667325957,"BayesSpace"
"359","sim40",0.692802616459676,"SpaGCN"
"360","sim40",0.572492220817988,"STAGATE"
"361","sim41",0.998766618483255,"scSpace"
"362","sim41",0.439278149875104,"louvain"
"363","sim41",0.989456961418514,"kmeans"
"364","sim41",-0.00153931050492115,"hclust"
"365","sim41",0.411357621102526,"scCoGAPS"
"366","sim41",0.939958498533834,"DR.SC"
"367","sim41",0.388079867473812,"BayesSpace"
"368","sim41",0.390038765348552,"SpaGCN"
"369","sim41",0.998766454069576,"STAGATE"
"370","sim42",0.956586245411607,"scSpace"
"371","sim42",0.895698533641957,"louvain"
"372","sim42",0.5192846368241,"kmeans"
"373","sim42",0.683467056248192,"hclust"
"374","sim42",0.707735265991512,"scCoGAPS"
"375","sim42",0.703447535916027,"DR.SC"
"376","sim42",0.851082594636541,"BayesSpace"
"377","sim42",0.427089420199857,"SpaGCN"
"378","sim42",0.800456428991085,"STAGATE"
"379","sim43",0.617457676797004,"scSpace"
"380","sim43",0.568557488460487,"louvain"
"381","sim43",0.57372812660938,"kmeans"
"382","sim43",0.546290136325994,"hclust"
"383","sim43",0.271394201583149,"scCoGAPS"
"384","sim43",0.663071111324744,"DR.SC"
"385","sim43",0.515382190245035,"BayesSpace"
"386","sim43",0.431381255506408,"SpaGCN"
"387","sim43",0.893794491200209,"STAGATE"
"388","sim44",0.976399067357113,"scSpace"
"389","sim44",0.88012900381392,"louvain"
"390","sim44",0.908720610351793,"kmeans"
"391","sim44",0.80048344719601,"hclust"
"392","sim44",0.636919048694599,"scCoGAPS"
"393","sim44",0.835914567670263,"DR.SC"
"394","sim44",0.627229286623572,"BayesSpace"
"395","sim44",0.626214521731527,"SpaGCN"
"396","sim44",0.978750679491024,"STAGATE"
"397","sim45",0.920697378074114,"scSpace"
"398","sim45",0.672369225949273,"louvain"
"399","sim45",0.403441405993529,"kmeans"
"400","sim45",0.645252968374861,"hclust"
"401","sim45",0.68049260355065,"scCoGAPS"
"402","sim45",0.709423898558385,"DR.SC"
"403","sim45",0.649769347542777,"BayesSpace"
"404","sim45",0.548274501027337,"SpaGCN"
"405","sim45",0.874105883990174,"STAGATE"
"406","sim46",0.904885748344923,"scSpace"
"407","sim46",0.765401975672791,"louvain"
"408","sim46",0.796008843054775,"kmeans"
"409","sim46",0.585264914377032,"hclust"
"410","sim46",0.508527327475518,"scCoGAPS"
"411","sim46",0.611537732801459,"DR.SC"
"412","sim46",0.620287608552214,"BayesSpace"
"413","sim46",0.542162462293758,"SpaGCN"
"414","sim46",0.818688782591736,"STAGATE"
"415","sim47",0.997723401879402,"scSpace"
"416","sim47",0.848967836732022,"louvain"
"417","sim47",0.96456097679465,"kmeans"
"418","sim47",0.501585383750666,"hclust"
"419","sim47",0.96405262952986,"scCoGAPS"
"420","sim47",0.710953534632341,"DR.SC"
"421","sim47",0.820846792063878,"BayesSpace"
"422","sim47",0.860528991644456,"SpaGCN"
"423","sim47",0.624959301715219,"STAGATE"
"424","sim48",0.886061421959552,"scSpace"
"425","sim48",0.700444625170037,"louvain"
"426","sim48",0.555903043826553,"kmeans"
"427","sim48",0.447263945508538,"hclust"
"428","sim48",0.722323244690497,"scCoGAPS"
"429","sim48",0.619596902746023,"DR.SC"
"430","sim48",0.730663486073391,"BayesSpace"
"431","sim48",0.544156796596267,"SpaGCN"
"432","sim48",0.716796213092803,"STAGATE"
