"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"SLAMF1",-0.193497617828994,5.69013893752419,-4.05885439626434,6.63126889224379e-05,0.00018731625530668,1.11130376281428,"SLAMF1",3.7274245329095,"no_sig"
"TGFBR2",0.262290399774763,6.86433630496034,4.05047195823329,6.85784894421813e-05,0.000193384282406425,1.07973926327518,"TGFBR2",3.713578826745,"no_sig"
"ITGAX",0.273714573332752,6.32756960705762,4.04882966838197,6.90309558205426e-05,0.000194326868782486,1.07356181129776,"ITGAX",3.71146714712424,"no_sig"
"UBE2C",-0.263285214989671,6.45805187891793,-4.04742336960943,6.94206615864547e-05,0.000195089859227575,1.06827377545672,"UBE2C",3.70976530464939,"no_sig"
"TET2",-0.111986306831783,6.11724264932453,-4.03793803107272,7.21044024593004e-05,0.000202286071063293,1.03264844192046,"TET2",3.69403402068255,"no_sig"
"ULBP2",-0.276710378656039,5.93469743858666,-4.03719927795183,7.23175155102367e-05,0.000202538322825944,1.02987687536145,"ULBP2",3.69349279063614,"no_sig"
"COL11A2",-0.176757981073013,5.62299512189551,-4.03589996046461,7.26937933197633e-05,0.000203245911934848,1.02500332497013,"COL11A2",3.69197818099585,"no_sig"
"LY9",-0.167823422331426,5.57882287651006,-4.0292340871687,7.46536855432347e-05,0.000208371237747161,1.00002217133578,"LY9",3.68116222850958,"no_sig"
"MET",-0.169770341507108,5.76093650357671,-4.02330468196742,7.64392004727033e-05,0.000212993297588346,0.97783136617544,"MET",3.67163406259973,"no_sig"
"MCM2",-0.139580249169387,5.54465256387038,-4.02094528393975,7.71609212279727e-05,0.000214640532146848,0.969009267135571,"MCM2",3.66828826361159,"no_sig"
"IL25",-0.195279343989455,5.47745453892654,-4.01935712380543,7.76503717274154e-05,0.000215637180945728,0.963073477419215,"IL25",3.66627635439727,"no_sig"
"PRL",-0.186451918967459,5.5075681657214,-4.01599807811525,7.86953328188588e-05,0.000218170534830023,0.950525716616971,"PRL",3.66120390372391,"no_sig"
"HDAC11",-0.156800900278232,5.76907039908154,-4.01548858172447,7.88549949073052e-05,0.000218245137420218,0.948623287815485,"HDAC11",3.66105542375111,"no_sig"
"SPP1",0.778376781954261,6.42601753579266,4.01468695796892,7.91068255324949e-05,0.000218574153236003,0.945630500713843,"SPP1",3.66040119540849,"up"
"PIK3R3",-0.184657802571079,5.46830145737324,-4.01397197264668,7.93320838666594e-05,0.000218828768249644,0.942961611332108,"PIK3R3",3.65989558420887,"no_sig"
"LEP",-0.181938070296384,5.4731153385821,-4.01315398016265,7.9590543151693e-05,0.000219173958025768,0.939908728259101,"LEP",3.65921104944676,"no_sig"
"IL24",-0.201985445820914,5.84527857964106,-4.00487739863365,8.22511176806877e-05,0.000226121801784365,0.90904980132705,"IL24",3.64565756265164,"no_sig"
"C5",-0.134371932617383,5.48946455500307,-4.00243543565639,8.30521256873369e-05,0.000227681911963037,0.899955692344396,"C5",3.64267147024859,"no_sig"
